sumact,max,stdev,fivecount,log,state
767,179,56.302414733,0,1.0,sleep
807,179,58.4128165975,0,1.0,wake
809,179,58.3623329277,0,3.07944154168,wake
858,179,57.4719807509,0,1.0,wake
891,179,56.7746170648,0,1.0,wake
824,179,55.7439725548,0,5.52178857705,wake
938,179,55.7039795107,0,3.48490664979,sleep
983,179,55.4162602921,0,4.52636052462,wake
840,156,46.4176690496,0,4.55534806149,wake
732,127,37.5729766112,0,1.0,wake
627,118,31.1324360022,0,1.0,wake
480,92,24.0983105513,0,5.77068462447,wake
621,118,30.9314911192,0,3.30258509299,wake
598,118,30.7304719255,0,4.73766961828,wake
613,118,30.6522740553,0,4.52636052462,wake
640,118,30.0176931952,0,4.25809653802,wake
657,118,29.2970013093,0,4.52636052462,wake
561,118,24.267556237,0,5.20469261939,wake
586,118,25.9208502212,0,4.61091791264,wake
586,118,26.0593644625,0,3.56494935746,sleep
589,118,26.5357799781,0,4.09104245336,wake
610,118,25.8292008984,0,3.56494935746,wake
596,118,25.751652744,0,4.49650756147,wake
538,67,15.4514600944,0,3.19722457734,wake
522,67,16.3379488134,0,3.7080502011,sleep
477,67,16.7037207147,0,3.94443897917,wake
451,67,16.5578351472,0,4.25809653802,wake
436,67,16.5405706126,0,4.36729582999,wake
432,67,16.3357626959,0,2.94591014906,sleep
363,47,13.058111874,0,3.30258509299,wake
310,36,10.1779406655,0,4.85014760171,sleep
349,47,12.314528779,0,3.48490664979,sleep
335,47,12.4838943863,0,2.79175946923,sleep
341,49,13.9567358716,0,4.58351893846,sleep
360,49,13.6465589593,0,1.0,sleep
379,49,13.8111411204,0,1.0,sleep
442,92,21.6413405095,0,3.7080502011,wake
491,92,23.819059995,0,3.63905732962,wake
518,92,24.2019282978,0,3.07944154168,sleep
588,92,28.0303407043,0,1.0,wake
596,92,28.2833452591,0,4.04452243772,wake
590,92,28.6267440725,0,3.83321334406,wake
568,92,28.0882113893,0,1.69314718056,wake
509,92,28.516494809,0,4.89182029811,wake
567,92,28.6024474477,0,3.77258872224,wake
518,92,29.1656190288,0,4.36729582999,wake
455,92,24.8079288401,0,5.52178857705,wake
479,92,27.5819126378,0,5.20469261939,sleep
491,92,28.9525062654,0,4.85014760171,sleep
440,92,25.1385683572,0,5.52178857705,sleep
611,122,36.1523232475,0,4.55534806149,wake
818,173,46.4795397895,0,1.0,sleep
882,173,48.2234382847,0,3.30258509299,sleep
1011,173,51.569647773,0,1.0,sleep
1018,173,51.5496062522,0,4.43398720449,wake
1285,285,71.9900125348,0,1.0,wake
1511,285,81.2000469153,0,1.0,wake
1650,285,83.1652399916,0,1.0,wake
1664,285,83.7782219684,0,2.94591014906,wake
1815,285,89.1114871543,0,3.07944154168,wake
1968,314,103.155776793,0,5.80402104473,wake
2160,335,114.846978939,1,6.1532915945,wake
2394,335,116.019825892,1,5.5538768916,wake
2735,382,126.96058631,2,5.91265488574,wake
3063,382,123.931547926,2,4.68887945411,wake
2820,382,121.580073555,2,6.65248918027,wake
2832,382,125.320503396,2,6.48893772616,wake
3042,382,123.328944581,2,6.1239639794,wake
3531,434,133.220601152,3,5.72738781871,wake
3832,434,137.817857714,4,6.38907172982,wake
4077,434,133.665360402,5,6.74939298591,wake
4442,434,132.439276292,5,6.81413053183,wake
5043,579,154.183749375,7,6.25227342805,wake
5099,579,155.79397262,7,6.94542060861,wake
5236,579,158.872695367,8,6.48893772616,wake
5760,579,149.482153737,9,1.69314718056,wake
5739,579,151.177095771,9,1.0,wake
5320,579,170.003921523,9,5.91265488574,wake
4780,579,174.544686596,8,7.0730445341,wake
4661,579,181.353653448,8,7.00881318544,wake
4608,579,188.897742556,8,6.84932477995,wake
4345,579,192.742549729,8,6.9763509093,wake
3866,434,180.566028024,8,7.36130247757,wake
3720,579,193.950840605,7,7.04025471128,wake
3885,579,203.079294858,8,5.52178857705,sleep
3178,579,193.489103914,6,7.04025471128,wake
3420,579,199.603929248,7,3.83321334406,sleep
3511,579,196.61704378,7,1.69314718056,sleep
3578,579,194.264890341,7,1.0,wake
3420,579,198.55082113,7,4.09104245336,wake
3110,579,188.06592056,6,1.0,wake
3120,579,189.096687287,6,2.09861228867,wake
3374,618,211.864186056,6,3.99573227355,wake
3513,618,222.627074467,6,4.40119738166,wake
3170,618,202.489870411,5,4.33220451018,wake
2789,618,194.000932742,4,2.09861228867,wake
2737,618,195.616802278,4,5.39444915467,wake
2321,618,185.686999827,3,5.35670882669,wake
2317,618,186.017024311,3,5.1743872699,wake
2380,618,184.685769168,3,1.0,wake
2278,618,186.332664621,3,5.62497281328,wake
1938,618,172.652293022,2,7.04025471128,wake
1740,543,145.830478884,2,7.42648845746,wake
1812,618,158.148393244,2,7.29710931993,wake
2101,618,185.21081939,3,6.45532111536,sleep
2291,618,187.080705783,3,3.63905732962,sleep
2159,618,188.870754498,3,5.77068462447,sleep
2273,618,187.523039854,3,1.0,sleep
2343,618,187.596794063,3,1.0,sleep
2410,618,187.567029289,3,1.0,sleep
2715,618,195.175342412,4,1.0,sleep
3097,618,200.258487722,5,1.0,sleep
3126,618,200.029069316,5,1.0,wake
2730,618,191.681506672,4,1.0,wake
2129,543,156.88546019,3,1.0,wake
1586,382,121.134478596,2,1.0,wake
1362,382,116.24555291,2,1.0,wake
1395,382,115.745657123,2,1.0,wake
1190,382,114.175449784,2,6.0106352941,wake
1194,382,114.398551439,2,5.97673374242,wake
979,382,91.7095830273,1,6.91350300564,wake
998,370,88.9834923161,1,6.94542060861,wake
1249,382,114.07612329,2,5.8751973232,wake
1387,382,114.125140171,2,4.17805383035,wake
1443,382,113.055801646,2,3.83321334406,wake
1460,382,112.599120355,2,1.0,sleep
1466,382,112.448040911,2,3.30258509299,wake
1556,382,112.685360523,2,4.85014760171,wake
1541,382,112.785848488,2,5.14313472639,sleep
1604,382,111.567681786,2,1.0,wake
1479,382,110.888038773,2,3.30258509299,wake
1469,382,111.753512782,2,4.43398720449,wake
1188,382,87.3942626427,1,1.0,wake
791,156,46.6576181704,0,4.43398720449,wake
691,156,41.4703565959,0,4.89182029811,wake
763,156,40.8929496776,0,1.0,wake
786,156,41.436181567,0,3.77258872224,wake
681,156,35.9424142603,0,5.84418708646,wake
814,156,40.4263586808,0,1.0,wake
804,156,40.3387442258,0,1.0,wake
764,156,41.0493315299,0,4.55534806149,wake
643,127,30.5752779063,0,6.04985600725,wake
739,156,40.8137465171,0,5.06044301055,wake
756,156,41.4053136687,0,3.77258872224,wake
724,156,41.4724234252,0,4.89182029811,wake
695,156,42.184007351,0,4.85014760171,wake
637,156,42.3914299515,0,5.02535169074,wake
687,156,42.3605274485,0,2.79175946923,sleep
663,156,42.9715852961,0,3.83321334406,sleep
517,156,37.4158738913,0,4.58351893846,sleep
531,156,36.4693609173,0,5.06044301055,sleep
589,156,36.6544351893,0,1.0,sleep
593,156,37.1253346947,0,3.07944154168,sleep
502,63,24.466108726,0,2.79175946923,sleep
743,294,63.5574355921,0,1.0,sleep
986,294,79.7160436741,0,1.0,sleep
1307,370,106.42880473,1,1.0,wake
1510,370,113.930200018,1,1.0,wake
1656,370,117.573502846,1,2.09861228867,wake
1693,370,116.649679035,1,1.0,wake
1818,370,118.664894315,1,4.61091791264,wake
1819,370,118.643784578,1,1.0,wake
1781,370,119.782560938,1,4.85014760171,wake
1839,370,118.46415974,1,5.14313472639,wake
1858,370,114.316061447,1,6.68357976734,wake
1925,370,116.296746873,1,6.55295958492,wake
1897,294,103.073436604,0,6.91350300564,wake
2144,370,113.022521987,1,6.52146091786,wake
2203,370,114.878154913,1,6.32300997914,wake
2369,370,115.807002831,1,4.68887945411,wake
2264,370,114.522757148,1,6.18738580584,wake
2517,370,110.051481459,1,1.0,wake
2453,370,112.497830667,1,5.20469261939,wake
2454,370,112.240494348,1,5.3040650932,wake
2259,370,108.102068171,1,6.55295958492,wake
2475,370,111.718076297,1,4.61091791264,wake
2133,370,107.789411089,1,5.44265125649,wake
1864,370,102.24084544,1,5.84418708646,wake
1607,258,80.8007543576,0,3.63905732962,wake
1389,258,70.6160645422,0,1.0,wake
1178,258,64.4328369404,0,4.61091791264,wake
1280,258,69.7950400748,0,5.3040650932,wake
1369,258,75.0970166169,0,4.68887945411,sleep
1401,258,74.1978051273,0,3.07944154168,wake
1306,258,76.3646639799,0,4.58351893846,sleep
1210,258,77.6495178288,0,5.06044301055,wake
1044,234,61.790891608,0,1.0,wake
989,234,63.057834376,0,4.43398720449,wake
935,234,62.53368616,0,1.0,wake
789,234,60.706318805,0,3.94443897917,wake
764,234,61.1632865292,0,4.40119738166,wake
650,234,51.3073836699,0,6.18738580584,sleep
852,294,70.9059739575,0,6.45532111536,wake
1316,304,98.5765354095,0,1.0,sleep
1646,370,118.974987367,1,1.0,sleep
1914,370,125.255852444,1,1.0,sleep
2078,370,129.404202478,1,4.52636052462,wake
2226,370,129.69656896,1,3.56494935746,wake
2586,370,136.841253178,2,1.0,wake
2913,370,144.237007338,3,1.0,wake
2960,370,142.329011867,3,1.0,wake
2929,370,143.659882726,3,4.58351893846,wake
2653,370,141.462126851,3,6.68357976734,wake
2464,370,142.874537036,3,6.71702770141,wake
2164,358,136.955641063,2,6.91350300564,wake
2266,370,143.945790061,3,6.62040086572,wake
2332,370,145.250293008,3,6.45532111536,wake
2451,370,144.962113277,3,6.22035582508,wake
2256,370,137.231399989,2,6.84932477995,wake
2295,370,134.952266694,2,6.8805329864,sleep
2678,370,142.246834428,3,4.85014760171,sleep
2741,370,139.93913643,3,4.17805383035,sleep
2759,370,139.178473979,3,3.48490664979,wake
2735,370,140.096361395,3,1.0,wake
2478,370,136.247935764,3,1.0,wake
2261,370,129.76607158,3,3.07944154168,wake
1878,358,117.232491839,2,4.17805383035,wake
1584,358,110.367826575,2,5.24849524205,wake
1424,358,104.093044459,2,1.0,wake
1177,358,102.251394216,2,5.14313472639,wake
821,358,77.8953816101,1,5.27666611902,wake
546,95,29.3904746474,0,4.68887945411,wake
533,95,29.4099918233,0,2.79175946923,sleep
515,95,29.712992188,0,1.0,wake
466,95,30.3588851041,0,4.61091791264,sleep
439,72,25.3986313842,0,5.5538768916,sleep
710,179,44.2330408717,0,2.09861228867,sleep
677,179,44.9843358981,0,4.33220451018,wake
676,179,45.1216345533,0,2.60943791243,sleep
646,179,44.1349122146,0,1.0,sleep
708,179,44.1181854309,0,1.0,wake
623,179,43.9241770934,0,4.93182563272,wake
724,179,47.1217773939,0,1.0,wake
684,179,47.6923174406,0,1.0,wake
727,179,47.4167440789,0,1.0,wake
696,179,48.0138372912,0,4.43398720449,wake
511,122,34.8501554277,0,6.18738580584,wake
595,179,46.3047873695,0,1.0,wake
592,179,46.3913990386,0,1.0,wake
535,179,46.9729912265,0,4.55534806149,wake
510,179,46.1888978621,0,5.14313472639,wake
586,179,46.6871553662,0,4.36729582999,sleep
551,179,41.7191859483,0,5.80402104473,sleep
639,179,46.0408203973,0,1.0,sleep
596,179,46.1296826246,0,4.89182029811,sleep
645,179,45.8608142723,0,1.0,sleep
715,179,46.0602607358,0,1.0,sleep
852,179,54.5303323193,0,1.0,wake
745,168,45.1393609255,0,1.0,wake
739,168,45.3537419047,0,2.79175946923,wake
743,168,45.2022966125,0,3.07944154168,wake
682,168,45.9038332251,0,4.73766961828,wake
626,168,45.0506593155,0,5.06044301055,wake
639,168,45.8492872666,0,3.83321334406,wake
529,168,40.9458411168,0,2.79175946923,wake
556,168,40.3814549609,0,1.0,wake
437,168,39.3314365967,0,5.24849524205,wake
417,78,26.9374937852,0,6.1239639794,sleep
562,168,40.7392989163,0,5.27666611902,wake
701,168,41.5373039453,0,1.0,sleep
701,168,41.5373039453,0,2.79175946923,sleep
824,168,46.1908051044,0,3.07944154168,wake
937,168,50.5781338035,0,4.13549421593,sleep
1211,294,73.5991394877,0,1.0,wake
